PRODUCT_CODE,DEVICE_NAME
JJW,Urinalysis Controls (Assayed And Unassayed)
JJX,Single (Specified) Analyte Controls (Assayed And Unassayed)
JJY,"Multi-Analyte Controls, All Kinds (Assayed)"
JKA,"Tubes, Vials, Systems, Serum Separators, Blood Collection"
JKB,"Radioimmunoassay, Compound S (11-Deoxycortisol)"
JKC,"Radioimmunoassay, Dehydroepiandrosterone (Free And Sulfate)"
JKD,"Radioimmunoassay, C-Peptides Of Proinsulin"
JKF,"Dinitrophenyl Hydrazone Measurement (Colorimetric), Hydroxybutyric Dehydroge"
JKG,"L-Isocitrate And Nadp (U.V.), Isocitric Dehydrogenase"
JKH,"Hydrazone Deriv. Of Alpha-Ketogluterate (Colorimetry), Isocitric Dehydrogen"
JKJ,"Fluorometric Measurement, Porphyrins"
JKL,"Acid, Delta-Aminolevulinic, Ion-Exchange Columns With Colorimetry"
JKP,"Chromium-51, Blood Volume"
JKR,"Radioimmunoassay, Calcitonin"
JKW,"N-Acetyl-L-Tyrosine Ethyl Ester (U.V.), Chymotrypsin"
JKX,"N-Benzoyl-L-Tyrosine Ethyl Ester (U.V.), Chymotrypsin"
JKY,"Oxalydihydrazide (Spectroscopic), Copper"
JKZ,"Diethyldithiocarbamate (Colorimetric), Copper"
JLA,"Conversion To Creatinine, Creatine"
JLB,"Atp And Creatine Kinase (Enzymatic), Creatine"
JLC,"Nitroprusside Reaction (Qualitative, Urine), Cystine"
JLD,"Chromatographic, Cystine"
JLE,"Radioimmunoassay, Desoxycorticosterone"
JLF,"Radioimmunoassay, Etiocholanolone"
JLG,"Conversion To Ferric Hydroxymates (Colorimetric), Fatty Acids"
JLH,"Titrimetric, Fatty Acids"
JLI,"Tetrahydrofolate, Enzymatic (U.V.), Formiminoglutamic Acid"
JLJ,"Uridine-5-Diphosphoglucose, Nad (U.V.), Alpha-D Galactose-1-Phosphate"
JLK,"Sodium Hydroxide And Phenol Red (Titrimetric), Gastric Acidity"
JLL,"Tubeless Analysis, Gastric Acidity"
JLN,"Chromatographic, Glutathione"
JLO,"Enzymatic (Glutathione Reductase), Glutathione"
JLP,"Spectrophotometric Method, Pregnanediol"
JLQ,"Spectrophotometric Method, Pregnanetriol"
JLR,"Gas Chromatography, Pregnanetriol"
